                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6126,                 2.6855,                 1.4424,                0.00353,                0.98876,                 0.5134,                0.24122,                 1.2263,                 3.3708,                 1.1834,             0.00065079,             0.00065079,             0.00065079
                      2,                 1.4607,                 1.7016,                 1.2681,                0.61743,                0.62921,                0.63133,                0.35883,                 1.5245,                 2.4075,                 1.5546,              0.0013044,              0.0013044,              0.0013044
                      3,                 1.4937,                  1.543,                 1.3269,                0.91127,                 0.8764,                0.92984,                 0.5028,                  1.498,                 1.9298,                 1.5114,              0.0019448,              0.0019448,              0.0019448
                      4,                 1.4768,                 1.3084,                 1.3173,                0.88246,                0.84357,                0.92091,                0.50303,                 1.5493,                 1.3879,                 1.5118,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4127,                 1.1698,                  1.267,                0.80069,                0.83146,                0.90044,                0.57418,                 1.2489,                 1.8051,                 1.2877,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.3805,                 1.0503,                 1.2673,                0.90369,                0.91011,                 0.9482,                0.59312,                 1.3059,                 1.0495,                 1.3314,               0.001901,               0.001901,               0.001901
                      7,                 1.3536,                0.93139,                 1.2223,                0.94196,                0.91178,                0.95972,                0.54483,                 1.4531,                0.97232,                 1.3656,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.3256,                0.88454,                 1.2288,                0.99639,                0.95506,                 0.9829,                0.66145,                 1.2155,                0.71059,                 1.2165,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.2989,                 0.8581,                 1.2081,                0.95141,                0.88005,                0.95454,                0.60359,                 1.3282,                0.95187,                 1.2789,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.3021,                 0.8595,                 1.2153,                0.92931,                0.95506,                0.97111,                 0.6148,                 1.2719,                0.76123,                 1.2413,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.2953,                0.81128,                 1.2045,                0.96578,                0.95145,                0.98184,                0.64796,                 1.2294,                0.82306,                 1.2323,               0.001802,               0.001802,               0.001802
                     12,                 1.3069,                0.82249,                  1.225,                0.98209,                0.94382,                0.98252,                0.64406,                 1.1923,                0.69946,                 1.2227,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.2815,                0.78682,                 1.2102,                0.99802,                0.96629,                0.98987,                0.68093,                 1.1226,                0.60128,                 1.1709,              0.0017624,              0.0017624,              0.0017624
                     14,                  1.246,                0.75991,                  1.172,                0.97696,                0.98876,                 0.9903,                0.66484,                 1.1457,                0.62325,                 1.1688,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.2751,                0.78721,                 1.1949,                0.97533,                0.97753,                0.99031,                0.65553,                 1.2078,                0.62677,                  1.202,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.2309,                0.72501,                 1.1562,                0.96609,                0.96023,                0.97825,                0.64814,                 1.1664,                0.89133,                 1.1758,               0.001703,               0.001703,               0.001703
                     17,                   1.24,                0.72545,                 1.1801,                0.99818,                0.97753,                0.98385,                0.64888,                 1.2036,                 0.5684,                 1.2054,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.1851,                0.70293,                 1.1441,                0.98863,                0.97659,                0.98421,                0.63667,                  1.247,                0.58199,                 1.2409,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.2069,                0.68575,                 1.1522,                0.98875,                0.98793,                0.98461,                0.62404,                 1.2226,                 0.6272,                 1.2311,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.2076,                0.67568,                 1.1582,                0.99214,                0.96629,                0.98587,                0.65547,                  1.163,                0.55557,                 1.1786,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.2185,                0.69392,                 1.1646,                0.99917,                0.98876,                0.98625,                0.69165,                 1.0716,                0.56118,                 1.1366,               0.001604,               0.001604,               0.001604
                     22,                 1.1661,                0.66691,                 1.1434,                0.99781,                0.98876,                0.98689,                0.68232,                 1.1296,                0.56631,                 1.1583,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.1686,                0.66641,                 1.1405,                0.98615,                0.98876,                0.98611,                0.67446,                  1.146,                0.53678,                  1.156,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.1462,                0.63745,                 1.1152,                0.98041,                0.98876,                 0.9939,                0.65012,                 1.1781,                0.55726,                 1.1966,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.1879,                0.67045,                 1.1406,                0.99776,                0.98876,                0.98934,                  0.681,                 1.0909,                0.51019,                 1.1376,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.1723,                0.65289,                 1.1418,                0.99859,                0.96629,                0.98661,                0.68162,                 1.1027,                0.51049,                 1.1484,               0.001505,               0.001505,               0.001505
                     27,                 1.1634,                0.63971,                 1.1304,                0.98647,                0.96629,                0.99192,                 0.6352,                 1.2035,                0.54773,                 1.2122,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.1349,                0.63301,                 1.1195,                0.99716,                0.97753,                0.98911,                0.66718,                 1.1723,                 0.5556,                 1.2085,              0.0014654,              0.0014654,              0.0014654
