                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8377,                 2.7354,                  1.867,                0.65781,                0.56797,                0.61761,                0.25288,                 1.4957,                 30.589,                 1.5358,               0.000659,               0.000659,               0.000659
                      2,                 1.7469,                 2.1313,                 1.7929,                0.32471,                0.26136,                 0.1966,                 0.0728,                 2.0062,                 18.144,                  2.202,              0.0013125,              0.0013125,              0.0013125
                      3,                  1.862,                 1.9241,                 1.8398,                0.60863,                0.68922,                0.59156,                0.21926,                 1.7954,                 7.5649,                 2.2429,              0.0019529,              0.0019529,              0.0019529
                      4,                 1.8343,                 1.7478,                 1.8273,                0.73909,                0.61364,                0.76008,                0.35062,                  1.479,                 6.3974,                 1.4312,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7921,                 1.5927,                 1.7859,                0.86534,                0.80682,                0.86521,                0.42596,                   1.52,                 4.0197,                 1.4138,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.7598,                  1.545,                 1.7523,                 0.5729,                0.79266,                0.71258,                0.28582,                 1.3798,                 2.6676,                 1.4723,               0.001901,               0.001901,               0.001901
                      7,                   1.68,                 1.4795,                 1.6943,                0.85927,                 0.8326,                 0.8959,                0.48385,                 1.3776,                 1.5853,                 1.3422,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.6734,                 1.4185,                  1.697,                 0.7852,                0.87236,                0.89424,                0.44937,                 1.3412,                 1.3942,                 1.3215,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.6506,                 1.3154,                 1.6628,                0.88014,                0.83445,                0.93437,                 0.5285,                 1.3204,                 1.2324,                 1.3101,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.6085,                  1.297,                 1.6418,                0.90235,                0.86364,                0.92493,                 0.4819,                 1.4257,                  1.726,                  1.399,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.6398,                 1.3209,                 1.6704,                0.94165,                0.91689,                0.95363,                0.46939,                 1.4691,                 1.3615,                 1.3912,               0.001802,               0.001802,               0.001802
                     12,                 1.6143,                 1.3084,                 1.6271,                0.94244,                0.92045,                0.96702,                0.60626,                 1.2304,                 1.1808,                 1.2609,              0.0017822,              0.0017822,              0.0017822
