                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8377,                 2.7354,                  1.867,                0.65781,                0.56797,                0.61761,                0.25288,                 1.4957,                 30.589,                 1.5358,               0.000659,               0.000659,               0.000659
                      2,                 1.7469,                 2.1313,                 1.7929,                0.32471,                0.26136,                 0.1966,                 0.0728,                 2.0062,                 18.144,                  2.202,              0.0013125,              0.0013125,              0.0013125
                      3,                  1.862,                 1.9241,                 1.8398,                0.60863,                0.68922,                0.59156,                0.21926,                 1.7954,                 7.5649,                 2.2429,              0.0019529,              0.0019529,              0.0019529
                      4,                 1.8343,                 1.7478,                 1.8273,                0.73909,                0.61364,                0.76008,                0.35062,                  1.479,                 6.3974,                 1.4312,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7921,                 1.5927,                 1.7859,                0.86534,                0.80682,                0.86521,                0.42596,                   1.52,                 4.0197,                 1.4138,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.7598,                  1.545,                 1.7523,                 0.5729,                0.79266,                0.71258,                0.28582,                 1.3798,                 2.6676,                 1.4723,               0.001901,               0.001901,               0.001901
                      7,                   1.68,                 1.4795,                 1.6943,                0.85927,                 0.8326,                 0.8959,                0.48385,                 1.3776,                 1.5853,                 1.3422,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.6734,                 1.4185,                  1.697,                 0.7852,                0.87236,                0.89424,                0.44937,                 1.3412,                 1.3942,                 1.3215,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.6506,                 1.3154,                 1.6628,                0.88014,                0.83445,                0.93437,                 0.5285,                 1.3204,                 1.2324,                 1.3101,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.6085,                  1.297,                 1.6418,                0.90235,                0.86364,                0.92493,                 0.4819,                 1.4257,                  1.726,                  1.399,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.6398,                 1.3209,                 1.6704,                0.94165,                0.91689,                0.95363,                0.46939,                 1.4691,                 1.3615,                 1.3912,               0.001802,               0.001802,               0.001802
                     12,                 1.6143,                 1.3084,                 1.6271,                0.94244,                0.92045,                0.96702,                0.60626,                 1.2304,                 1.1808,                 1.2609,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.6059,                 1.2482,                 1.6311,                0.85535,                0.84091,                0.89434,                0.51835,                 1.3493,                 1.6228,                 1.3387,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.5961,                 1.2549,                 1.6372,                0.96234,                0.87125,                0.94718,                0.56559,                 1.1688,                 1.3798,                 1.2032,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.5583,                 1.1887,                 1.5973,                0.87947,                0.92045,                0.95311,                0.52045,                 1.3181,                 1.0244,                 1.2944,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.5244,                 1.1601,                 1.5818,                0.90277,                0.94961,                0.97205,                 0.5631,                  1.242,                0.89042,                 1.2567,               0.001703,               0.001703,               0.001703
                     17,                 1.5733,                 1.1872,                 1.6026,                0.94055,                0.89898,                 0.9675,                0.58812,                 1.1113,                 1.1965,                 1.1844,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.5624,                 1.1918,                 1.5913,                0.91051,                0.90909,                0.96108,                0.59589,                 1.1728,                 1.0341,                   1.23,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.5297,                 1.1482,                 1.5705,                0.93682,                0.92045,                0.96735,                 0.5455,                 1.1703,                 1.4116,                 1.2006,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.4983,                 1.1305,                 1.5676,                0.98254,                0.89773,                0.97455,                0.57252,                 1.1577,                 1.0525,                 1.2107,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.5097,                 1.1162,                 1.5763,                0.88428,                 0.8684,                0.93693,                0.53277,                 1.2023,                0.95351,                 1.2548,               0.001604,               0.001604,               0.001604
                     22,                 1.4942,                 1.1817,                 1.5537,                0.90741,                0.89094,                0.93989,                0.56708,                 1.1643,                0.83517,                 1.2022,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.4777,                 1.1157,                 1.5538,                0.96981,                0.95455,                 0.9898,                 0.5499,                 1.1607,                 1.0778,                 1.1914,              0.0015644,              0.0015644,              0.0015644
                     24,                  1.489,                 1.1036,                  1.548,                0.98355,                0.94318,                 0.9862,                0.59165,                 1.2296,                0.79682,                 1.2159,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.4794,                 1.1043,                 1.5552,                0.94088,                0.89773,                0.97566,                0.63052,                 1.0985,                0.95892,                 1.1365,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.4688,                 1.0757,                 1.5489,                 0.9716,                0.93182,                0.98023,                0.54655,                 1.3356,                0.83573,                 1.2952,               0.001505,               0.001505,               0.001505
                     27,                 1.4725,                 1.0496,                  1.542,                0.95372,                0.93684,                 0.9811,                0.60152,                 1.1669,                 1.0083,                 1.1708,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.4276,                 1.0086,                 1.5127,                0.96256,                0.93182,                0.98305,                0.62452,                 1.1685,                0.76287,                 1.1728,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.4579,                 1.0098,                  1.515,                0.98665,                0.90909,                0.98351,                0.63289,                 1.0573,                0.78906,                 1.1058,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.4071,                0.99579,                 1.4777,                0.97637,                0.93922,                0.98615,                0.62108,                 1.0724,                0.74823,                 1.1331,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.4518,                 1.0175,                 1.5271,                0.98702,                0.86404,                0.97446,                0.59616,                 1.2095,                0.91239,                  1.216,               0.001406,               0.001406,               0.001406
                     32,                 1.3987,                0.98275,                 1.4868,                0.93068,                0.90909,                0.96595,                0.60775,                  1.163,                 1.0071,                 1.2047,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.3989,                 0.9981,                 1.4766,                0.93328,                0.95381,                0.97921,                0.60439,                 1.0945,                 0.8097,                 1.1283,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.3987,                0.98165,                 1.4833,                0.96542,                0.95182,                0.98808,                0.63756,                 1.1173,                 0.7745,                  1.127,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.3797,                0.94631,                 1.4742,                0.96989,                0.92045,                0.98136,                 0.6205,                  1.086,                0.69115,                 1.0951,              0.0013268,              0.0013268,              0.0013268
                     36,                  1.418,                 1.0062,                 1.5066,                0.96406,                0.91438,                0.96409,                0.64379,                 1.1038,                0.72775,                 1.1293,               0.001307,               0.001307,               0.001307
                     37,                 1.3743,                0.95846,                 1.4644,                0.95939,                0.97727,                0.98767,                0.61724,                 1.1369,                0.63666,                 1.1264,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.3426,                0.93764,                 1.4655,                0.97693,                0.96236,                 0.9882,                0.64949,                 1.0617,                0.60536,                 1.0677,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3806,                0.95802,                 1.4829,                0.93331,                0.94318,                0.98043,                0.63785,                 1.1065,                0.78909,                 1.1088,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3834,                0.95021,                 1.4724,                0.96242,                0.96591,                0.98897,                0.62408,                 1.0337,                 0.6927,                 1.0788,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.3411,                0.91742,                 1.4411,                0.97748,                0.98656,                0.99339,                0.65081,                 1.0438,                0.58549,                 1.0503,               0.001208,               0.001208,               0.001208
                     42,                 1.3482,                0.93925,                 1.4433,                0.94034,                0.95455,                0.98128,                0.64706,                 1.1108,                0.72484,                 1.0999,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.3619,                 0.9229,                 1.4562,                0.96514,                0.94318,                0.98257,                0.61896,                 1.0898,                 0.6862,                 1.0906,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.3499,                0.94972,                 1.4646,                0.92448,                0.97384,                0.98167,                0.63462,                 1.1423,                0.72601,                 1.1441,              0.0011486,              0.0011486,              0.0011486
