                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 84.137,                      0,                      0,                      0,                      0,                      0,                      0,                 94.189,                      0,               0.000659,               0.000659,               0.000659
                      2,                      0,                 48.683,                      0,                      0,                      0,                      0,                      0,                      0,                 43.938,                      0,              0.0013125,              0.0013125,              0.0013125
                      3,                      0,                 26.273,                      0,                      0,                      0,                      0,                      0,                      0,                 27.988,                      0,              0.0019529,              0.0019529,              0.0019529
                      4,                      0,                 11.038,                      0,                      0,                      0,                      0,                      0,                      0,                 6.8474,                      0,              0.0019406,              0.0019406,              0.0019406
                      5,                      0,                 3.3137,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2865,                      0,              0.0019208,              0.0019208,              0.0019208
