                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4727,                  2.441,                 1.3108,                      1,                0.10514,                0.78265,                0.44129,                   1.29,                 3.0395,                 1.1343,             0.00065432,             0.00065432,             0.00065432
                      2,                 1.4221,                 1.6581,                  1.291,                0.50666,                0.41228,                0.39662,                0.15279,                  2.098,                 2.8101,                 1.7905,              0.0013079,              0.0013079,              0.0013079
                      3,                 1.3982,                 1.3874,                 1.2741,                0.57469,                0.79825,                0.62235,                0.32915,                 1.5764,                 2.6095,                 1.5753,              0.0019483,              0.0019483,              0.0019483
                      4,                 1.4089,                 1.1876,                 1.2728,                0.81661,                0.85088,                0.86816,                0.44119,                 1.5872,                 1.9148,                 1.4967,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3654,                 1.0773,                 1.2433,                0.90838,                0.85088,                0.93669,                 0.5293,                 1.3786,                 1.0767,                 1.3785,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.3671,                0.98844,                 1.2464,                0.90084,                0.92105,                0.96435,                0.57128,                 1.3182,                0.97129,                 1.3239,               0.001901,               0.001901,               0.001901
                      7,                 1.3072,                0.89182,                 1.2179,                0.91859,                0.89077,                 0.9422,                0.54602,                 1.3896,                0.96579,                 1.3481,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.3292,                0.88694,                 1.2467,                 0.9502,                0.94737,                0.96676,                0.60159,                 1.2903,                0.86716,                 1.2768,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.2972,                0.82207,                 1.2094,                0.98157,                0.93455,                0.97495,                0.62499,                 1.2295,                0.73802,                 1.2787,              0.0018416,              0.0018416,              0.0018416
                     10,                  1.299,                 0.8442,                 1.2297,                0.93839,                 0.9352,                0.96412,                0.63969,                 1.1856,                0.79424,                 1.2547,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.2818,                0.79469,                 1.1995,                0.96449,                  0.953,                0.97846,                0.61101,                 1.2959,                0.72879,                 1.2823,               0.001802,               0.001802,               0.001802
                     12,                 1.2667,                0.75845,                 1.1984,                0.98052,                0.96491,                0.97603,                0.64793,                 1.1251,                0.66532,                 1.1784,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.2315,                0.73246,                 1.1815,                0.96992,                0.95614,                0.97729,                0.63737,                 1.1833,                0.66055,                 1.1947,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.2252,                0.73888,                  1.183,                0.96489,                0.96434,                 0.9803,                0.65303,                 1.1786,                0.63257,                 1.1991,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.2277,                0.72191,                  1.175,                0.97466,                0.96491,                0.97238,                 0.6219,                 1.1767,                0.67419,                 1.2134,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.1804,                0.69124,                 1.1678,                0.96398,                0.94737,                0.98513,                0.64595,                 1.1752,                0.63199,                 1.1946,               0.001703,               0.001703,               0.001703
