                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8954,                 2.8912,                 1.8973,                 0.0036,                0.79006,                0.02193,                0.00597,                 2.5988,                 3.5499,                 2.8406,                0.08218,                0.00018,                0.00018
                      2,                 1.6054,                 1.8533,                 1.5645,                0.77957,                0.11727,                0.39568,                0.14176,                  2.207,                  2.742,                 1.7956,               0.063368,             0.00036817,             0.00036817
                      3,                 1.5933,                 1.4706,                 1.4735,                0.80709,                0.34254,                0.62216,                0.28614,                 1.8536,                 2.7206,                 1.5817,               0.044554,             0.00055446,             0.00055446
                      4,                 1.5062,                   1.31,                 1.4272,                0.69194,                0.63536,                0.68602,                0.34898,                 1.7282,                   1.75,                  1.589,               0.025739,             0.00073886,             0.00073886
                      5,                 1.4847,                 1.2559,                 1.4586,                 0.8168,                0.77901,                0.85303,                0.47687,                 1.5652,                 1.2736,                 1.4871,              0.0069214,             0.00092139,             0.00092139
                      6,                 1.4802,                 1.1895,                 1.4269,                0.42006,                0.66851,                0.50791,                0.23307,                 1.7224,                 1.9017,                 1.7254,             0.00097525,             0.00097525,             0.00097525
                      7,                 1.4112,                 1.1822,                 1.3772,                0.55028,                0.64088,                0.61861,                0.29815,                 1.7938,                 1.7004,                 1.9767,              0.0009703,              0.0009703,              0.0009703
                      8,                  1.431,                 1.0724,                    1.4,                0.73473,                0.70392,                 0.7855,                0.41305,                 1.6596,                 1.3849,                 1.6157,             0.00096535,             0.00096535,             0.00096535
                      9,                 1.4133,                 1.0588,                 1.3879,                0.69316,                0.71143,                0.72769,                0.36107,                 1.5781,                  1.396,                 1.6007,              0.0009604,              0.0009604,              0.0009604
                     10,                 1.3781,                  1.038,                 1.3607,                0.87181,                0.82666,                0.89466,                0.50245,                  1.508,                  1.091,                 1.5016,             0.00095545,             0.00095545,             0.00095545
                     11,                 1.3457,                 1.0055,                 1.3565,                0.79602,                0.79558,                0.88425,                0.48376,                 1.5496,                 1.0496,                 1.4986,              0.0009505,              0.0009505,              0.0009505
                     12,                 1.3624,                0.94142,                 1.3398,                0.88405,                0.88462,                0.94647,                 0.5453,                  1.441,                0.86042,                 1.4326,             0.00094555,             0.00094555,             0.00094555
                     13,                 1.3315,                0.97961,                 1.3497,                0.85165,                0.91978,                0.95104,                0.57965,                 1.3518,                0.82382,                 1.3809,              0.0009406,              0.0009406,              0.0009406
                     14,                 1.3159,                 0.9488,                 1.3408,                0.91899,                0.87741,                0.95656,                0.59129,                  1.324,                 0.8556,                 1.3533,             0.00093565,             0.00093565,             0.00093565
                     15,                 1.3309,                0.97107,                 1.3284,                0.86942,                0.88283,                0.92607,                 0.5955,                 1.3414,                0.82868,                 1.3136,              0.0009307,              0.0009307,              0.0009307
                     16,                 1.3015,                0.94001,                 1.3258,                0.92537,                0.89055,                0.96081,                0.58864,                 1.3734,                0.77073,                 1.3333,             0.00092575,             0.00092575,             0.00092575
                     17,                 1.3098,                0.92252,                 1.3256,                0.94396,                0.90608,                0.95377,                 0.5849,                 1.3841,                0.76165,                  1.319,              0.0009208,              0.0009208,              0.0009208
                     18,                  1.283,                0.88454,                 1.2949,                0.93452,                0.94621,                0.97657,                0.61068,                 1.2802,                0.69786,                 1.2729,             0.00091585,             0.00091585,             0.00091585
                     19,                 1.2456,                 0.8681,                 1.2704,                0.97384,                0.90608,                0.95842,                0.62932,                 1.2527,                0.71708,                 1.2542,              0.0009109,              0.0009109,              0.0009109
                     20,                 1.2298,                0.86774,                 1.2603,                0.94895,                0.95028,                  0.967,                0.64211,                 1.2235,                0.77727,                   1.26,             0.00090595,             0.00090595,             0.00090595
                     21,                  1.234,                0.81689,                 1.2755,                0.88655,                0.90664,                0.92479,                  0.573,                  1.306,                0.84339,                 1.2917,               0.000901,               0.000901,               0.000901
                     22,                 1.2112,                0.81337,                 1.2742,                0.89308,                 0.9337,                  0.959,                0.58272,                 1.4005,                0.80189,                 1.3195,             0.00089605,             0.00089605,             0.00089605
                     23,                 1.2624,                0.85396,                 1.2796,                0.96557,                0.89503,                0.97871,                0.64112,                 1.2128,                0.71311,                 1.2361,              0.0008911,              0.0008911,              0.0008911
                     24,                  1.243,                0.84757,                 1.2591,                0.94824,                 0.9109,                0.97298,                0.65586,                 1.2088,                0.69396,                 1.2199,             0.00088615,             0.00088615,             0.00088615
                     25,                 1.2103,                0.83676,                 1.2405,                0.93732,                 0.9337,                0.96734,                0.64145,                 1.2092,                0.71007,                 1.2463,              0.0008812,              0.0008812,              0.0008812
                     26,                 1.1973,                0.79424,                 1.2527,                0.94404,                  0.932,                0.96394,                0.64344,                 1.2623,                0.67388,                 1.3033,             0.00087625,             0.00087625,             0.00087625
                     27,                 1.1804,                0.79333,                 1.2346,                0.91345,                0.93299,                0.95364,                0.57126,                 1.4289,                0.74809,                 1.3658,              0.0008713,              0.0008713,              0.0008713
                     28,                  1.191,                0.79352,                 1.2599,                0.93258,                0.91704,                0.95344,                0.62786,                 1.2688,                0.65816,                 1.2945,             0.00086635,             0.00086635,             0.00086635
                     29,                 1.1773,                0.78323,                 1.2615,                0.90848,                 0.8895,                0.94489,                0.60555,                 1.3364,                0.71676,                 1.3351,              0.0008614,              0.0008614,              0.0008614
                     30,                 1.1804,                0.76638,                 1.2366,                0.97242,                 0.9337,                0.98481,                0.65904,                 1.2147,                0.61354,                 1.2518,             0.00085645,             0.00085645,             0.00085645
                     31,                 1.1696,                0.75841,                 1.2498,                0.93926,                 0.9337,                0.97698,                0.62341,                 1.2562,                 0.6516,                 1.2672,              0.0008515,              0.0008515,              0.0008515
                     32,                 1.1663,                0.74376,                 1.2456,                0.92222,                0.89503,                0.95241,                0.63025,                 1.2608,                0.67562,                 1.2699,             0.00084655,             0.00084655,             0.00084655
                     33,                 1.1428,                0.73922,                 1.2265,                0.93638,                0.90055,                0.96357,                0.65136,                 1.2699,                0.66311,                 1.2469,              0.0008416,              0.0008416,              0.0008416
                     34,                 1.1294,                0.72139,                 1.2136,                0.95565,                0.95243,                0.96946,                0.64367,                 1.2064,                0.64021,                 1.2409,             0.00083665,             0.00083665,             0.00083665
                     35,                 1.1599,                0.72899,                 1.2518,                0.96429,                 0.9337,                0.96679,                0.66015,                 1.2493,                0.60568,                 1.2297,              0.0008317,              0.0008317,              0.0008317
                     36,                 1.1416,                0.71452,                 1.2077,                0.95111,                0.96729,                0.97494,                0.61783,                  1.291,                0.59795,                 1.2856,             0.00082675,             0.00082675,             0.00082675
                     37,                 1.1685,                0.70465,                 1.2394,                0.97211,                0.95028,                0.98305,                0.67745,                 1.2026,                0.55661,                 1.2464,              0.0008218,              0.0008218,              0.0008218
