                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1346,                 1.4321,                 1.2358,                 0.6489,                0.53373,                0.61434,                0.45536,                 1.0881,                 1.1276,                 1.1302,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                  1.109,                 1.3398,                 1.2371,                0.67062,                0.55146,                0.62705,                0.46651,                 1.0807,                 1.0951,                  1.124,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.1931,                  1.385,                 1.2345,                0.67887,                0.57248,                0.64308,                0.47877,                 1.0699,                 1.0698,                 1.1179,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 1.1584,                 1.2981,                 1.2166,                 0.6632,                0.59341,                0.66218,                0.49023,                 1.0628,                 1.0464,                 1.1111,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.1051,                 1.2287,                 1.2035,                0.65898,                0.63273,                0.67442,                0.50283,                 1.0552,                  1.021,                 1.1062,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.1173,                 1.2272,                 1.2017,                0.67753,                0.64151,                0.68838,                0.51861,                 1.0449,                0.99243,                 1.0987,             5.3161e-05,             5.3161e-05,             5.3161e-05
