                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8501,                 3.0573,                  1.951,                 0.7265,                0.10278,                0.25231,                0.07711,                 2.0226,                 3.6548,                 2.0602,             0.00064912,             0.00064912,             0.00064912
                      2,                 1.7005,                   2.37,                 1.7768,                0.43863,                0.61878,                0.53359,                0.20323,                 1.9342,                 6.1904,                 2.4472,              0.0013028,              0.0013028,              0.0013028
                      3,                 1.7399,                 2.1654,                 1.8039,                  0.401,                0.49724,                0.43405,                0.19021,                 1.9892,                 2.8934,                 2.4384,              0.0019432,              0.0019432,              0.0019432
                      4,                 1.6912,                 1.9444,                 1.7439,                0.29546,                0.40884,                0.23138,                0.08328,                 2.4802,                  6.139,                 2.5999,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7506,                 1.8572,                 1.7915,                0.25857,                0.38674,                0.23952,                0.09876,                 2.0011,                 7.4329,                 2.0307,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.5965,                 1.6118,                 1.6491,                 0.4055,                0.50498,                0.41036,                0.14519,                 2.0193,                 2.4038,                 2.0288,               0.001901,               0.001901,               0.001901
                      7,                 1.6354,                 1.5611,                 1.6518,                0.56057,                0.56906,                0.57303,                0.23445,                 1.9198,                 1.8279,                 1.8595,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5774,                  1.431,                 1.6196,                0.71194,                0.61447,                0.66508,                0.31895,                 1.7794,                 1.6575,                 1.7728,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.5295,                 1.3822,                  1.578,                0.75221,                0.65193,                0.75317,                0.35957,                 1.6616,                 1.6018,                 1.7104,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4501,                 1.2706,                 1.5374,                0.73675,                0.81215,                0.84407,                0.47679,                 1.4716,                 1.2135,                 1.5227,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.5019,                 1.2128,                 1.5387,                 0.8646,                0.84668,                0.93223,                0.54763,                 1.3852,                 1.0477,                 1.3938,               0.001802,               0.001802,               0.001802
                     12,                  1.408,                 1.1396,                 1.4851,                0.93882,                0.93262,                0.95312,                0.57865,                 1.3425,                0.86026,                   1.41,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3689,                 1.0887,                 1.4498,                0.88296,                0.89503,                 0.9504,                0.60101,                 1.3209,                0.86578,                 1.3901,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.3787,                 1.0437,                 1.4196,                0.87496,                0.83978,                0.91074,                0.54618,                 1.4145,                0.94855,                   1.47,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.3955,                  1.115,                 1.4641,                0.90469,                0.92265,                0.94911,                 0.5715,                 1.4307,                 0.9005,                 1.4396,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.4012,                 1.0676,                 1.4825,                 0.8745,                0.84693,                0.91358,                0.55842,                 1.3691,                0.91652,                 1.4509,               0.001703,               0.001703,               0.001703
                     17,                 1.3622,                 1.0328,                 1.4479,                0.92672,                 0.8453,                0.94461,                0.57835,                 1.3593,                0.86161,                 1.4314,              0.0016832,              0.0016832,              0.0016832
                     18,                  1.358,                 1.0554,                 1.4367,                0.87411,                0.89503,                0.93919,                0.56755,                 1.3872,                0.94825,                 1.4107,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3807,                 1.0261,                 1.4314,                0.89069,                0.90038,                 0.9439,                0.61144,                 1.2701,                0.78602,                 1.3613,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.3443,                 1.0321,                 1.4357,                0.87339,                0.85635,                0.91952,                0.56407,                 1.4127,                0.90591,                 1.4377,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.2639,                0.92341,                 1.3559,                0.96538,                 0.9116,                0.96916,                0.61375,                 1.3009,                 0.7381,                 1.3879,               0.001604,               0.001604,               0.001604
                     22,                 1.3266,                0.97056,                 1.4224,                0.87948,                 0.9273,                0.96154,                0.61548,                 1.3249,                0.75992,                 1.3868,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.2867,                0.94001,                  1.396,                0.92527,                0.88926,                0.95046,                0.57845,                  1.422,                0.76317,                 1.4348,              0.0015644,              0.0015644,              0.0015644
