                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7771,                 3.3605,                 1.7404,                 0.8263,                0.19318,                 0.5079,                0.19317,                 1.5178,                 16.723,                 1.5093,               0.070345,               0.003295,               0.003295
                      2,                 1.5178,                 2.0302,                 1.4885,                0.64272,                0.42932,                0.49227,                0.24994,                 1.4581,                 8.0166,                 1.5893,               0.040279,              0.0065627,              0.0065627
                      3,                 1.6198,                 1.8897,                 1.6187,                0.62019,                0.61236,                0.62822,                0.25942,                 1.5283,                 6.5413,                 1.5992,               0.010148,              0.0097644,              0.0097644
                      4,                 1.6995,                 1.9376,                 1.6439,                0.69987,                  0.625,                0.66233,                0.34155,                 1.4355,                   6.99,                 1.4216,               0.009703,               0.009703,               0.009703
                      5,                 1.7213,                 1.8175,                 1.6983,                0.32458,                0.34091,                0.24896,                0.08586,                 2.3166,                 10.654,                 2.4083,               0.009604,               0.009604,               0.009604
                      6,                  1.709,                 1.7044,                 1.6708,                 0.5172,                0.47727,                0.51329,                0.22543,                 1.5893,                 3.8132,                 1.5582,               0.009505,               0.009505,               0.009505
                      7,                 1.7139,                 1.5927,                 1.6786,                0.67143,                0.67045,                0.76257,                0.37206,                 1.4504,                 2.9039,                 1.4391,               0.009406,               0.009406,               0.009406
                      8,                 1.5849,                 1.4135,                 1.5809,                0.72513,                0.68954,                 0.7145,                 0.3565,                  1.469,                 2.7073,                 1.4683,               0.009307,               0.009307,               0.009307
                      9,                 1.5869,                 1.3948,                 1.5683,                0.92668,                0.79545,                0.91873,                 0.5086,                 1.3107,                 2.0197,                 1.2559,               0.009208,               0.009208,               0.009208
                     10,                 1.5455,                 1.2882,                 1.4868,                0.87014,                0.85227,                0.89182,                 0.4972,                 1.2307,                 1.6496,                 1.2122,               0.009109,               0.009109,               0.009109
                     11,                 1.4843,                 1.2169,                 1.4899,                0.92102,                0.79515,                0.91262,                0.52267,                 1.2282,                 1.2469,                 1.1906,                0.00901,                0.00901,                0.00901
                     12,                  1.478,                 1.1825,                 1.4858,                0.90605,                 0.8767,                0.95134,                0.58903,                 1.0735,                 1.1583,                 1.1232,               0.008911,               0.008911,               0.008911
                     13,                 1.5259,                 1.1678,                 1.5273,                0.79515,                0.79397,                0.82483,                0.45402,                  1.267,                 1.4553,                 1.2875,               0.008812,               0.008812,               0.008812
                     14,                 1.4963,                   1.18,                 1.4943,                 0.9014,                0.90909,                0.93918,                0.59159,                 1.1509,                0.98095,                 1.1886,               0.008713,               0.008713,               0.008713
                     15,                 1.4743,                 1.1898,                 1.4756,                0.90201,                0.82955,                0.89653,                0.54779,                 1.0902,                 1.2668,                 1.1355,               0.008614,               0.008614,               0.008614
                     16,                 1.4876,                 1.1948,                 1.5019,                 0.9098,                0.91693,                0.96682,                0.60698,                 1.1111,                 1.1077,                 1.1365,               0.008515,               0.008515,               0.008515
                     17,                 1.4166,                 1.0834,                 1.4364,                0.91378,                0.94318,                0.95965,                0.62114,                 1.0445,                0.95699,                 1.0913,               0.008416,               0.008416,               0.008416
                     18,                 1.4382,                 1.0871,                 1.4461,                0.97576,                0.91479,                0.96313,                0.62132,                 1.0567,                 1.3169,                 1.0987,               0.008317,               0.008317,               0.008317
                     19,                 1.4124,                 1.0483,                 1.4499,                0.95388,                0.94018,                0.97609,                0.63085,                 1.0165,                 1.1367,                 1.0341,               0.008218,               0.008218,               0.008218
                     20,                  1.433,                 1.0163,                 1.4408,                0.96318,                0.92045,                0.98235,                0.63185,                 1.0304,                0.87369,                 1.0801,               0.008119,               0.008119,               0.008119
                     21,                 1.3979,                 1.0248,                 1.4263,                0.88901,                0.81921,                0.92985,                0.57918,                 1.1638,                 1.7891,                 1.1056,                0.00802,                0.00802,                0.00802
                     22,                 1.3806,                0.99601,                 1.4031,                  0.912,                0.95455,                0.96635,                0.63425,                 1.0314,                 1.0506,                 1.0454,               0.007921,               0.007921,               0.007921
                     23,                 1.3542,                 1.0613,                  1.401,                0.94068,                0.90103,                 0.9682,                0.63404,                 1.2008,                0.72427,                 1.1561,               0.007822,               0.007822,               0.007822
                     24,                 1.3533,                0.96002,                 1.3902,                0.90549,                0.94318,                0.97866,                0.65104,                 1.0734,                0.86282,                 1.0825,               0.007723,               0.007723,               0.007723
                     25,                 1.3847,                0.96301,                  1.401,                0.97672,                0.95374,                0.98312,                0.68837,                0.99931,                0.73954,                 1.0287,               0.007624,               0.007624,               0.007624
                     26,                 1.3271,                0.92876,                 1.3764,                 0.9006,                0.93182,                0.95884,                0.63996,                 1.0808,                0.75232,                 1.0849,               0.007525,               0.007525,               0.007525
                     27,                 1.3313,                0.91442,                 1.3656,                 0.9923,                0.94318,                0.98481,                0.62764,                 1.0292,                0.84786,                 1.0701,               0.007426,               0.007426,               0.007426
                     28,                 1.3189,                0.91325,                 1.3804,                0.95448,                0.95302,                0.97756,                0.66847,                 1.0405,                0.73487,                 1.0624,               0.007327,               0.007327,               0.007327
                     29,                 1.2907,                0.90964,                 1.3644,                0.94179,                0.92045,                   0.97,                 0.6321,                 1.0052,                0.69751,                  1.056,               0.007228,               0.007228,               0.007228
                     30,                 1.2784,                0.88706,                 1.3532,                0.89377,                0.95455,                0.97455,                0.67131,                0.94926,                0.67989,                 1.0147,               0.007129,               0.007129,               0.007129
                     31,                  1.291,                0.91858,                 1.3737,                 0.9324,                0.94318,                0.97992,                 0.6808,                 1.0508,                0.72766,                 1.0586,                0.00703,                0.00703,                0.00703
                     32,                  1.273,                0.88903,                 1.3595,                0.96597,                0.96772,                 0.9837,                0.67198,                0.99406,                 0.6765,                 1.0078,               0.006931,               0.006931,               0.006931
                     33,                 1.2202,                0.81734,                 1.3063,                0.96935,                0.96591,                0.98593,                0.67935,                 1.0638,                0.69174,                 1.1213,               0.006832,               0.006832,               0.006832
                     34,                 1.2551,                0.84159,                 1.3245,                0.95283,                0.88636,                0.96699,                0.65554,                 1.0763,                0.64155,                 1.0757,               0.006733,               0.006733,               0.006733
                     35,                 1.2061,                0.81831,                 1.3078,                0.94844,                0.90909,                   0.98,                 0.6634,                 0.9147,                0.63219,                 1.0011,               0.006634,               0.006634,               0.006634
                     36,                 1.2189,                0.84596,                 1.2952,                0.95398,                0.89773,                0.97835,                 0.6775,                 1.0057,                0.74104,                 1.0606,               0.006535,               0.006535,               0.006535
                     37,                 1.2392,                0.82023,                  1.307,                0.94826,                0.93182,                0.97241,                0.66253,                 1.0258,                0.64044,                 1.0695,               0.006436,               0.006436,               0.006436
                     38,                 1.2096,                 0.7933,                 1.3051,                0.94135,                0.97727,                0.98486,                0.67565,                0.96804,                0.56305,                0.98632,               0.006337,               0.006337,               0.006337
                     39,                 1.1983,                0.79522,                 1.2964,                0.94031,                0.97727,                0.98738,                 0.6789,                0.97845,                 0.5834,                0.99379,               0.006238,               0.006238,               0.006238
                     40,                 1.2403,                0.80559,                 1.3325,                0.97622,                0.96591,                0.99227,                 0.6875,                 0.9981,                0.58011,                 1.0318,               0.006139,               0.006139,               0.006139
                     41,                 1.1947,                0.80197,                 1.2933,                0.98833,                0.96264,                0.99047,                0.69706,                0.95051,                0.52416,                0.99275,                0.00604,                0.00604,                0.00604
                     42,                 1.1768,                0.75769,                 1.2902,                0.94248,                0.97727,                0.97936,                0.69634,                0.98145,                0.56591,                 1.0267,               0.005941,               0.005941,               0.005941
                     43,                 1.1661,                0.76869,                 1.2787,                0.96063,                0.96591,                0.97983,                0.68801,                 1.0215,                0.57976,                 1.0438,               0.005842,               0.005842,               0.005842
                     44,                 1.1467,                0.74836,                 1.2602,                0.95259,                0.95455,                0.98291,                0.67306,                0.99866,                0.58992,                0.99811,               0.005743,               0.005743,               0.005743
                     45,                 1.1834,                  0.768,                 1.2958,                 0.9539,                0.94048,                0.98542,                0.70339,                0.95901,                0.52029,                  0.976,               0.005644,               0.005644,               0.005644
                     46,                 1.1419,                0.74896,                 1.2758,                0.93401,                0.96497,                0.97966,                0.64564,                 1.0466,                0.54688,                 1.0617,               0.005545,               0.005545,               0.005545
                     47,                 1.1554,                0.73871,                 1.2714,                0.96566,                0.96591,                0.99038,                0.70569,                0.93222,                0.48341,                0.98024,               0.005446,               0.005446,               0.005446
                     48,                 1.1754,                0.75062,                 1.2739,                0.96995,                0.98864,                0.99114,                0.69704,                 0.9848,                0.47361,                 1.0198,               0.005347,               0.005347,               0.005347
                     49,                 1.1675,                0.72862,                 1.2757,                0.98276,                0.98864,                 0.9923,                 0.6967,                0.99609,                0.58268,                 1.0021,               0.005248,               0.005248,               0.005248
                     50,                 1.1377,                 0.7214,                 1.2637,                 0.9663,                0.97742,                0.98946,                0.71561,                0.86357,                0.48788,                0.93371,               0.005149,               0.005149,               0.005149
                     51,                 1.1471,                0.71787,                 1.2686,                0.97024,                0.97727,                0.98856,                0.71251,                0.97596,                0.53359,                 1.0222,                0.00505,                0.00505,                0.00505
                     52,                 1.1204,                0.70899,                 1.2508,                0.98856,                0.98189,                0.99313,                0.71189,                 0.9485,                0.54152,                 0.9885,               0.004951,               0.004951,               0.004951
                     53,                 1.1495,                0.71501,                 1.2597,                0.98843,                 0.9712,                0.98968,                0.69639,                0.97909,                0.71814,                 1.0173,               0.004852,               0.004852,               0.004852
                     54,                 1.1251,                0.70825,                 1.2373,                0.96653,                0.98455,                0.99149,                0.70103,                0.95349,                0.50476,                0.99789,               0.004753,               0.004753,               0.004753
                     55,                 1.1236,                0.67673,                 1.2399,                0.97726,                0.97688,                0.98824,                0.69557,                0.96985,                0.55457,                 1.0259,               0.004654,               0.004654,               0.004654
                     56,                 1.1157,                0.67566,                 1.2381,                 0.9359,                0.96591,                0.98449,                0.68899,                 1.0319,                0.49488,                   1.05,               0.004555,               0.004555,               0.004555
                     57,                 1.1085,                0.68437,                 1.2382,                 0.9665,                0.96591,                0.98418,                0.69422,                0.92995,                 0.4823,                0.98492,               0.004456,               0.004456,               0.004456
                     58,                  1.078,                0.68961,                 1.2185,                0.95634,                0.98864,                0.98653,                0.70199,                0.91991,                0.51708,                0.95641,               0.004357,               0.004357,               0.004357
                     59,                 1.0715,                0.66738,                 1.2253,                0.94853,                0.96591,                0.98225,                0.68779,                0.98138,                0.52355,                 1.0327,               0.004258,               0.004258,               0.004258
                     60,                 1.0943,                0.67525,                  1.221,                0.94378,                0.96591,                0.98117,                0.71791,                0.96812,                0.51008,                  1.013,               0.004159,               0.004159,               0.004159
                     61,                 1.0724,                0.65881,                 1.2369,                0.96143,                0.95455,                0.98759,                0.70789,                0.94146,                0.51163,                0.99965,                0.00406,                0.00406,                0.00406
                     62,                 1.0764,                 0.6922,                 1.2168,                0.96662,                0.98712,                0.98497,                0.71364,                0.93502,                0.45885,                 1.0019,               0.003961,               0.003961,               0.003961
                     63,                 1.0894,                 0.6659,                 1.2237,                0.96001,                0.98864,                0.98879,                 0.7363,                0.92026,                 0.4214,                0.98351,               0.003862,               0.003862,               0.003862
                     64,                  1.089,                0.65996,                 1.2083,                0.96271,                0.97727,                0.98701,                 0.7269,                0.90728,                0.45393,                0.96634,               0.003763,               0.003763,               0.003763
                     65,                 1.0452,                0.63648,                 1.1939,                0.98608,                0.97727,                0.99091,                0.71298,                0.93104,                0.43878,                0.99565,               0.003664,               0.003664,               0.003664
                     66,                 1.0464,                 0.6339,                 1.2121,                 0.9884,                0.98864,                0.98954,                0.72305,                 1.0053,                0.49375,                 1.0159,               0.003565,               0.003565,               0.003565
                     67,                 1.0621,                0.67079,                 1.2014,                0.96628,                0.97697,                0.98888,                0.71651,                0.96422,                0.50039,                 1.0003,               0.003466,               0.003466,               0.003466
                     68,                 1.0413,                0.63993,                 1.1958,                0.98518,                0.96591,                0.98978,                0.70736,                0.96827,                0.45029,                 0.9954,               0.003367,               0.003367,               0.003367
                     69,                 1.0529,                 0.6446,                    1.2,                0.98579,                0.98864,                0.99149,                0.70605,                0.96118,                0.46402,                0.99708,               0.003268,               0.003268,               0.003268
                     70,                 1.0272,                0.61385,                 1.1911,                 0.9858,                0.98864,                0.98913,                0.71479,                0.95203,                0.46264,                0.99246,               0.003169,               0.003169,               0.003169
                     71,                 1.0752,                0.64813,                 1.2162,                0.98844,                0.97207,                0.98823,                0.70442,                0.94627,                0.47406,                0.98617,                0.00307,                0.00307,                0.00307
                     72,                 1.0186,                0.63179,                 1.1899,                0.97309,                0.98864,                0.98752,                0.70437,                0.97863,                 0.4936,                 1.0286,               0.002971,               0.002971,               0.002971
                     73,                 1.0039,                0.61054,                 1.1675,                0.98862,                0.98742,                0.99054,                0.70953,                0.96509,                0.44698,                 1.0109,               0.002872,               0.002872,               0.002872
                     74,                 1.0027,                0.58783,                 1.1649,                0.97262,                0.97727,                0.98722,                0.71781,                 0.9763,                0.44682,                 1.0106,               0.002773,               0.002773,               0.002773
                     75,                 1.0193,                0.57927,                 1.1883,                0.97594,                0.96591,                0.98264,                0.69684,                0.96361,                0.46904,                 1.0147,               0.002674,               0.002674,               0.002674
                     76,                 1.0072,                0.60046,                 1.1816,                 0.9745,                0.98864,                0.98936,                0.70772,                 0.9877,                0.46747,                 1.0104,               0.002575,               0.002575,               0.002575
                     77,                0.97335,                  0.574,                 1.1452,                0.98757,                0.98864,                0.99148,                0.70552,                 1.0355,                0.48816,                 1.0446,               0.002476,               0.002476,               0.002476
                     78,                0.99143,                0.59703,                 1.1639,                0.98475,                0.97727,                0.98731,                0.71147,                 1.0292,                0.46708,                 1.0251,               0.002377,               0.002377,               0.002377
                     79,                0.96741,                0.56058,                 1.1545,                0.97351,                0.97727,                 0.9839,                0.69561,                 1.0049,                0.42808,                 1.0281,               0.002278,               0.002278,               0.002278
                     80,                0.98232,                0.57086,                 1.1512,                0.98288,                0.98864,                0.99233,                0.71794,                 1.0049,                0.40836,                 1.0407,               0.002179,               0.002179,               0.002179
                     81,                0.96845,                0.57484,                 1.1467,                0.97745,                0.98501,                0.98917,                0.69522,                 1.0011,                0.41535,                 1.0391,                0.00208,                0.00208,                0.00208
                     82,                 0.9596,                0.58063,                 1.1488,                0.97739,                0.98249,                0.99162,                0.70875,                0.97605,                0.42429,                  1.005,               0.001981,               0.001981,               0.001981
                     83,                0.99106,                0.59483,                 1.1592,                0.97755,                      1,                 0.9916,                0.69787,                0.99433,                0.42488,                 1.0251,               0.001882,               0.001882,               0.001882
                     84,                0.96483,                0.56589,                 1.1564,                0.97722,                0.97484,                  0.991,                0.71531,                 1.0317,                0.44779,                 1.0273,               0.001783,               0.001783,               0.001783
                     85,                0.95522,                0.55762,                 1.1392,                0.97744,                0.98487,                0.99346,                0.71895,                0.95384,                0.42512,                 0.9872,               0.001684,               0.001684,               0.001684
                     86,                0.95448,                0.54767,                 1.1488,                0.98612,                0.96591,                0.99101,                0.69978,                0.94102,                0.41876,                0.98883,               0.001585,               0.001585,               0.001585
                     87,                0.92643,                0.54551,                 1.1287,                0.97703,                0.98864,                 0.9853,                0.70436,                0.95276,                0.42565,                 1.0053,               0.001486,               0.001486,               0.001486
                     88,                0.92396,                0.57003,                 1.1298,                0.98858,                0.98388,                 0.9908,                0.70608,                0.97135,                0.42808,                 1.0119,               0.001387,               0.001387,               0.001387
                     89,                 0.9255,                0.52757,                 1.1197,                0.98363,                0.98864,                0.99137,                0.71441,                0.94142,                0.40774,                0.99311,               0.001288,               0.001288,               0.001288
                     90,                 0.9119,                0.54065,                 1.1247,                0.98423,                0.98864,                 0.9895,                0.70984,                 0.9775,                0.40776,                0.99861,               0.001189,               0.001189,               0.001189
                     91,                0.82215,                0.39895,                 1.0787,                0.98847,                0.97441,                0.98901,                 0.6985,                0.97421,                0.41574,                 1.0253,                0.00109,                0.00109,                0.00109
                     92,                0.81649,                0.38826,                 1.0748,                0.98259,                0.97727,                0.99058,                0.70167,                 0.9764,                 0.4096,                 1.0202,               0.000991,               0.000991,               0.000991
