                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0185,                 3.0742,                 1.6918,                0.00509,                0.03448,                0.00264,                 0.0007,                 3.2782,                  4.063,                  2.458,                 0.0802,                 0.0002,                 0.0002
                      2,                 1.5674,                 1.3612,                 1.2481,                0.00509,                0.03448,                0.00264,                 0.0007,                  2.089,                 5.0595,                 1.4336,               0.059408,             0.00040797,             0.00040797
                      3,                 1.4284,                 1.0842,                 1.1475,                 0.7037,                0.87356,                0.89468,                0.52047,                 1.5426,                 2.6962,                 1.1819,               0.038614,             0.00061386,             0.00061386
                      4,                 1.3923,                0.96637,                  1.154,                0.97121,                0.77557,                0.94268,                0.55398,                 1.5821,                 1.5516,                 1.1946,               0.017818,             0.00081767,             0.00081767
                      5,                 1.3603,                0.95368,                 1.1098,                0.89932,                0.82145,                0.87734,                0.43114,                 1.6576,                 1.0504,                 1.2659,              0.0009802,              0.0009802,              0.0009802
                      6,                 1.3009,                0.88857,                 1.1035,                0.91603,                 0.8778,                0.93003,                0.55254,                 1.4203,                0.84157,                 1.1515,             0.00097525,             0.00097525,             0.00097525
                      7,                 1.3314,                 0.8711,                 1.1142,                0.93875,                0.95402,                   0.96,                0.61645,                 1.3346,                0.74183,                  1.075,              0.0009703,              0.0009703,              0.0009703
                      8,                 1.2941,                0.85865,                 1.1028,                0.93118,                0.93323,                 0.9416,                 0.5923,                 1.3407,                0.95681,                 1.1081,             0.00096535,             0.00096535,             0.00096535
                      9,                 1.2675,                0.81471,                 1.0846,                0.90981,                0.92765,                0.95088,                0.55449,                  1.328,                 0.8009,                  1.112,              0.0009604,              0.0009604,              0.0009604
                     10,                 1.2673,                0.80068,                  1.085,                0.94621,                0.89655,                0.94431,                0.56294,                 1.4512,                0.79407,                 1.2044,             0.00095545,             0.00095545,             0.00095545
                     11,                 1.3099,                0.79385,                 1.1025,                0.96496,                0.94974,                0.97619,                0.60017,                 1.3313,                0.70675,                 1.1459,              0.0009505,              0.0009505,              0.0009505
                     12,                 1.2804,                0.77752,                 1.0908,                0.98828,                 0.9692,                  0.985,                0.60992,                 1.3406,                0.69798,                 1.1074,             0.00094555,             0.00094555,             0.00094555
                     13,                 1.2388,                0.76075,                  1.074,                0.96411,                0.92629,                0.97194,                0.62525,                 1.2846,                0.70795,                 1.0743,              0.0009406,              0.0009406,              0.0009406
                     14,                 1.1929,                0.75924,                 1.0658,                0.98792,                0.94009,                0.97658,                 0.6144,                 1.2976,                0.65864,                 1.1441,             0.00093565,             0.00093565,             0.00093565
                     15,                 1.2278,                0.73255,                 1.0702,                0.98766,                0.91974,                0.97597,                 0.6546,                 1.2585,                0.62756,                 1.0864,              0.0009307,              0.0009307,              0.0009307
                     16,                 1.2134,                0.73536,                 1.0689,                0.95589,                0.95402,                0.97026,                0.61369,                 1.2983,                0.64475,                 1.1099,             0.00092575,             0.00092575,             0.00092575
                     17,                 1.1981,                0.72087,                 1.0688,                0.97154,                0.91954,                0.96943,                0.63673,                 1.2548,                0.62838,                 1.0763,              0.0009208,              0.0009208,              0.0009208
                     18,                  1.219,                0.69306,                 1.0596,                0.97585,                0.92892,                0.97207,                0.66785,                 1.2543,                0.61951,                 1.0662,             0.00091585,             0.00091585,             0.00091585
                     19,                 1.2056,                 0.7085,                  1.056,                0.97549,                0.91499,                0.96085,                0.63072,                 1.2257,                0.62805,                 1.0907,              0.0009109,              0.0009109,              0.0009109
                     20,                 1.1717,                0.67728,                 1.0557,                0.95905,                0.96552,                0.96868,                0.66087,                 1.2281,                0.61734,                 1.0859,             0.00090595,             0.00090595,             0.00090595
                     21,                 1.1957,                 0.6747,                 1.0493,                0.95345,                0.94182,                0.96474,                0.65767,                 1.2181,                0.62046,                 1.0435,               0.000901,               0.000901,               0.000901
                     22,                 1.2027,                0.67917,                 1.0479,                0.98491,                0.95402,                0.97194,                0.60512,                 1.3044,                0.62319,                 1.1031,             0.00089605,             0.00089605,             0.00089605
                     23,                 1.1783,                0.67264,                  1.052,                 0.9317,                0.94074,                0.96562,                0.62227,                 1.3381,                0.65357,                 1.0895,              0.0008911,              0.0008911,              0.0008911
