                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6076,                 1.8149,                 1.3139,                0.82181,                0.82022,                0.86522,                0.39531,                 1.7073,                 2.3206,                 1.4269,             0.00065863,             0.00065863,             0.00065863
                      2,                 1.4829,                 1.0832,                 1.2058,                0.76382,                0.85393,                0.87932,                0.43908,                 1.5968,                 1.9494,                 1.4175,              0.0013122,              0.0013122,              0.0013122
                      3,                 1.5241,                 1.0726,                 1.2894,                0.85459,                0.83146,                0.90151,                0.51422,                 1.5991,                 1.4578,                 1.4468,              0.0019525,              0.0019525,              0.0019525
                      4,                 1.4777,                 1.0013,                 1.2618,                0.88205,                 0.8427,                0.91467,                0.54687,                 1.5062,                 1.0785,                 1.4396,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5256,                 1.0041,                  1.278,                0.90429,                0.88764,                0.94897,                0.59885,                 1.3567,                0.90475,                 1.2843,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.4092,                0.91817,                 1.2392,                0.97283,                0.97753,                0.97171,                0.62146,                 1.3154,                 0.7557,                 1.2695,               0.001901,               0.001901,               0.001901
                      7,                  1.404,                 0.8935,                 1.2311,                0.95954,                0.95506,                 0.9696,                0.51574,                 1.6467,                0.83508,                 1.5678,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.3643,                0.83727,                 1.2374,                0.89945,                0.96629,                 0.9706,                0.63838,                 1.3034,                0.72862,                 1.2116,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.3499,                0.81335,                 1.2017,                0.95051,                0.97753,                 0.9884,                0.64365,                 1.2579,                 0.7348,                 1.2921,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.3056,                0.78592,                 1.2005,                 0.9263,                0.93258,                0.96409,                0.61147,                 1.2883,                0.86729,                 1.2814,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.3043,                0.78792,                 1.2006,                0.97485,                0.96629,                0.98729,                0.62014,                 1.3132,                0.70522,                 1.2863,               0.001802,               0.001802,               0.001802
                     12,                 1.3033,                0.77668,                 1.2075,                0.98542,                0.96629,                0.98348,                0.65742,                 1.2387,                0.71838,                 1.2186,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.2717,                0.76565,                 1.1763,                0.96621,                0.96388,                0.98103,                0.66025,                 1.2198,                0.68818,                 1.2006,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.2682,                0.75585,                 1.1649,                 0.9885,                 0.9659,                0.98422,                0.63817,                 1.3017,                0.65042,                 1.2697,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.2904,                0.75636,                  1.166,                 0.9803,                0.97753,                0.98284,                0.67783,                 1.2339,                 0.6302,                 1.2015,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.2385,                0.71224,                 1.1491,                0.98152,                0.97753,                 0.9839,                0.65444,                 1.2651,                 0.6645,                 1.2847,               0.001703,               0.001703,               0.001703
                     17,                 1.1988,                0.71597,                 1.1468,                0.97917,                0.95506,                0.98666,                0.67889,                 1.1584,                0.61491,                 1.1871,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.2251,                0.70657,                 1.1545,                0.97523,                0.96629,                0.98165,                0.59671,                 1.3442,                0.69697,                 1.3323,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.2497,                0.71698,                 1.1544,                0.99808,                0.97753,                0.98733,                0.66758,                 1.1919,                0.61381,                 1.2083,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.2033,                0.69064,                 1.1277,                0.98872,                0.98533,                0.99092,                0.63998,                 1.2349,                0.63216,                 1.2895,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.1943,                0.68494,                 1.1262,                0.98581,                0.97753,                0.98782,                0.66041,                 1.2186,                0.59972,                 1.1743,               0.001604,               0.001604,               0.001604
                     22,                 1.1751,                0.65854,                 1.1357,                0.97728,                0.96668,                0.98692,                0.66948,                 1.2197,                0.61784,                 1.2406,              0.0015842,              0.0015842,              0.0015842
                     23,                  1.163,                0.65317,                 1.1196,                0.98709,                0.97753,                0.98693,                  0.681,                 1.1568,                0.55503,                 1.2137,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.1495,                0.64287,                 1.1284,                0.99839,                0.97753,                0.98749,                0.67176,                 1.2391,                0.57298,                 1.2752,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.1589,                0.64138,                 1.1168,                0.99685,                0.96629,                0.98857,                0.68085,                 1.2004,                0.55863,                 1.1815,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.1416,                0.63743,                 1.1041,                0.99866,                0.97753,                0.99053,                0.69671,                 1.1262,                0.54396,                 1.1739,               0.001505,               0.001505,               0.001505
                     27,                 1.1119,                 0.6074,                 1.0971,                0.99755,                0.97753,                0.98191,                0.68824,                 1.1611,                0.57442,                 1.1828,              0.0014852,              0.0014852,              0.0014852
                     28,                  1.133,                0.61351,                 1.1094,                0.99901,                0.98876,                0.99019,                0.71428,                 1.1482,                0.55243,                 1.2277,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.1462,                0.62905,                 1.1287,                 0.9972,                0.98876,                0.99281,                0.68502,                 1.1724,                0.55661,                 1.1648,              0.0014456,              0.0014456,              0.0014456
                     30,                  1.119,                0.60346,                 1.1062,                      1,                0.97408,                0.98659,                0.69728,                 1.1495,                0.52979,                 1.1617,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.1555,                0.61299,                 1.1064,                      1,                0.98841,                0.98884,                0.69788,                 1.1784,                0.54112,                 1.1804,               0.001406,               0.001406,               0.001406
                     32,                 1.1205,                0.61024,                 1.1004,                0.98876,                0.98858,                 0.9886,                0.69034,                 1.1686,                0.53466,                 1.1703,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.1145,                0.59309,                 1.1034,                0.98629,                0.98876,                0.99178,                0.70006,                 1.1703,                0.55629,                  1.209,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.1045,                0.58178,                 1.0922,                0.98733,                0.97753,                0.99366,                0.69177,                 1.2116,                0.53993,                 1.2149,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.0966,                 0.5793,                 1.0786,                0.99439,                0.97753,                0.99435,                0.66995,                 1.2283,                0.53983,                 1.1917,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0931,                0.58065,                  1.073,                0.99829,                0.97753,                0.99416,                0.70828,                 1.1116,                0.54526,                 1.1548,               0.001307,               0.001307,               0.001307
                     37,                 1.0715,                0.56458,                 1.0751,                0.99156,                0.96629,                0.98911,                0.68817,                 1.1509,                 0.5453,                 1.1793,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1249,                  0.569,                 1.1053,                0.99639,                0.97753,                0.98922,                0.69849,                  1.158,                0.52426,                 1.2095,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0689,                0.59307,                 1.0763,                0.99985,                0.97753,                0.98947,                0.68572,                 1.2019,                0.55276,                 1.2645,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0824,                0.57423,                 1.0792,                0.98819,                0.97753,                0.98772,                0.67144,                  1.282,                0.60076,                 1.2938,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0653,                 0.5563,                 1.0779,                0.99337,                0.97753,                0.98307,                0.69441,                  1.152,                0.51925,                 1.2132,               0.001208,               0.001208,               0.001208
                     42,                  1.081,                0.55664,                 1.0749,                0.99853,                0.97753,                0.98977,                0.71344,                 1.1292,                0.51696,                 1.2059,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0374,                0.54104,                 1.0549,                 0.9983,                0.97753,                0.99273,                0.70266,                  1.168,                0.50328,                 1.2042,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0461,                0.54099,                 1.0634,                0.99908,                0.97753,                0.98587,                 0.6965,                 1.1332,                0.52444,                 1.1777,              0.0011486,              0.0011486,              0.0011486
                     45,                  1.059,                0.53906,                 1.0716,                0.99906,                0.97753,                0.99326,                0.69859,                 1.1396,                0.50937,                 1.1685,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0574,                0.55988,                 1.0848,                0.99888,                0.97753,                0.98786,                0.69616,                 1.1746,                0.52988,                 1.2086,               0.001109,               0.001109,               0.001109
                     47,                 1.0617,                0.55119,                 1.0748,                0.98555,                0.98876,                0.99195,                0.69575,                 1.1853,                0.53181,                 1.2098,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0078,                 0.5415,                 1.0595,                      1,                0.98773,                0.99489,                0.70216,                 1.1592,                0.54972,                 1.2149,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0296,                0.53723,                   1.07,                0.99853,                0.97753,                0.99204,                0.72658,                 1.1067,                0.50776,                 1.1847,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0377,                0.54559,                 1.0752,                0.98871,                0.98876,                0.99309,                0.69689,                 1.1832,                0.51461,                 1.2594,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0286,                0.51768,                 1.0656,                0.98874,                0.98684,                0.99285,                0.72966,                 1.1489,                0.54262,                 1.2395,                0.00101,                0.00101,                0.00101
                     52,                  1.017,                 0.5108,                 1.0478,                0.99894,                0.97753,                0.99317,                0.70533,                 1.1629,                0.52665,                 1.2207,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0198,                0.51513,                 1.0554,                0.99798,                0.97753,                0.99374,                0.73039,                 1.0995,                0.47644,                 1.1607,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0308,                0.53664,                 1.0499,                0.97517,                0.97753,                0.99349,                0.69993,                 1.1348,                0.47378,                  1.181,              0.0009506,              0.0009506,              0.0009506
                     55,                0.99638,                0.52155,                 1.0525,                0.98787,                0.97753,                0.99036,                0.72112,                 1.1048,                0.51965,                 1.1875,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0001,                0.52025,                 1.0456,                0.99951,                0.98876,                0.99288,                0.74524,                 1.1102,                0.47804,                 1.1794,               0.000911,               0.000911,               0.000911
                     57,                 0.9698,                0.50932,                 1.0393,                0.97643,                0.97753,                0.98923,                0.68766,                 1.2901,                0.54001,                 1.3063,              0.0008912,              0.0008912,              0.0008912
                     58,                0.98744,                 0.5093,                 1.0405,                0.98769,                0.98876,                0.99424,                0.68296,                 1.2484,                0.54388,                 1.2708,              0.0008714,              0.0008714,              0.0008714
                     59,                0.97901,                0.50856,                 1.0332,                0.98784,                0.98876,                0.99103,                0.71042,                 1.1179,                0.50647,                 1.2165,              0.0008516,              0.0008516,              0.0008516
                     60,                0.98379,                0.50029,                 1.0398,                0.98764,                0.98876,                0.99369,                0.74061,                 1.0464,                0.46932,                 1.1487,              0.0008318,              0.0008318,              0.0008318
                     61,                0.96892,                0.50725,                 1.0264,                0.98875,                0.98772,                0.99283,                0.71563,                 1.1091,                0.48137,                 1.1801,               0.000812,               0.000812,               0.000812
                     62,                 0.9656,                0.50782,                 1.0327,                 0.9775,                0.98876,                0.98886,                0.72291,                 1.0946,                0.49832,                 1.1919,              0.0007922,              0.0007922,              0.0007922
                     63,                0.96978,                0.50317,                 1.0311,                0.99872,                0.98876,                0.99206,                 0.7202,                 1.1545,                0.46776,                 1.2047,              0.0007724,              0.0007724,              0.0007724
                     64,                0.97119,                0.49807,                 1.0366,                0.97627,                0.97753,                 0.9892,                0.71747,                 1.1436,                0.48316,                 1.1971,              0.0007526,              0.0007526,              0.0007526
                     65,                0.94969,                0.49207,                 1.0384,                0.99819,                0.97753,                0.99078,                0.73582,                 1.0962,                0.46539,                 1.1833,              0.0007328,              0.0007328,              0.0007328
                     66,                  0.952,                0.48673,                 1.0318,                      1,                0.98612,                0.99457,                0.70783,                 1.1631,                0.51256,                 1.2292,               0.000713,               0.000713,               0.000713
                     67,                0.94196,                0.48476,                 1.0182,                0.99915,                0.98876,                0.99348,                0.70908,                 1.1592,                0.50699,                 1.2239,              0.0006932,              0.0006932,              0.0006932
                     68,                0.94819,                0.48528,                 1.0205,                0.99839,                0.98876,                0.99457,                0.74098,                 1.1653,                0.49633,                 1.2349,              0.0006734,              0.0006734,              0.0006734
                     69,                0.96231,                0.47718,                 1.0283,                      1,                0.98725,                0.99457,                0.70691,                 1.1443,                0.50453,                 1.2317,              0.0006536,              0.0006536,              0.0006536
                     70,                0.93166,                0.47579,                 1.0171,                0.99916,                0.98876,                0.99489,                 0.7264,                 1.0988,                0.50655,                 1.1957,              0.0006338,              0.0006338,              0.0006338
                     71,                0.93092,                 0.4644,                   1.02,                      1,                0.98861,                0.99055,                0.71034,                  1.134,                0.51467,                  1.224,               0.000614,               0.000614,               0.000614
                     72,                 0.9246,                0.47133,                 1.0214,                0.99927,                0.98876,                0.98948,                0.73042,                 1.1477,                0.47685,                  1.286,              0.0005942,              0.0005942,              0.0005942
                     73,                0.92332,                0.46818,                 1.0084,                0.99927,                0.98876,                0.98942,                0.73652,                 1.0745,                0.48686,                 1.1731,              0.0005744,              0.0005744,              0.0005744
                     74,                0.93353,                0.46626,                 1.0076,                  0.999,                0.98876,                0.98888,                0.72178,                 1.1013,                0.47338,                 1.1951,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.9116,                0.46972,                 1.0194,                0.99993,                0.98876,                0.99175,                0.71115,                 1.1632,                0.50009,                  1.243,              0.0005348,              0.0005348,              0.0005348
                     76,                0.90866,                0.45919,                 1.0227,                0.99864,                0.98876,                0.99356,                0.71701,                 1.1503,                0.49588,                 1.2539,               0.000515,               0.000515,               0.000515
                     77,                0.89307,                0.45382,                0.99888,                0.99904,                0.98876,                0.99281,                0.73517,                  1.105,                0.46337,                 1.1953,              0.0004952,              0.0004952,              0.0004952
                     78,                0.88616,                0.44467,                 1.0051,                0.99886,                0.98876,                0.98753,                0.72407,                 1.0906,                0.43458,                 1.1656,              0.0004754,              0.0004754,              0.0004754
                     79,                0.89357,                0.46166,                0.99664,                0.99881,                0.98876,                0.98903,                0.73051,                 1.0924,                0.44823,                 1.1564,              0.0004556,              0.0004556,              0.0004556
                     80,                0.89883,                0.45431,                0.99369,                0.99696,                0.98876,                0.98712,                0.70257,                 1.1361,                0.47096,                 1.1845,              0.0004358,              0.0004358,              0.0004358
                     81,                0.88778,                0.44472,                 0.9961,                 0.9988,                0.98876,                0.98737,                0.71485,                 1.1075,                0.45631,                 1.1626,               0.000416,               0.000416,               0.000416
                     82,                0.86434,                0.44171,                0.99782,                0.99904,                0.98876,                0.99044,                 0.7301,                 1.1227,                0.44452,                 1.1793,              0.0003962,              0.0003962,              0.0003962
                     83,                0.87485,                0.44477,                0.99427,                0.99883,                0.98876,                 0.9895,                0.73234,                 1.1489,                 0.4374,                  1.213,              0.0003764,              0.0003764,              0.0003764
                     84,                0.84954,                0.42639,                0.98952,                0.99908,                0.98876,                0.98886,                0.72175,                 1.0927,                0.42905,                 1.1621,              0.0003566,              0.0003566,              0.0003566
                     85,                0.87334,                0.43629,                0.98865,                0.99886,                0.98876,                0.98986,                0.73406,                 1.0715,                0.42974,                 1.1381,              0.0003368,              0.0003368,              0.0003368
                     86,                0.85712,                0.43318,                0.98441,                0.99954,                0.98876,                0.99174,                0.73306,                 1.0993,                0.46121,                 1.1653,               0.000317,               0.000317,               0.000317
                     87,                0.84156,                0.42086,                0.98077,                0.98796,                0.98876,                0.99053,                0.73877,                  1.073,                0.46336,                 1.1597,              0.0002972,              0.0002972,              0.0002972
                     88,                0.86431,                0.43442,                0.98627,                0.99917,                0.98876,                0.98999,                0.73836,                 1.0662,                0.44293,                 1.1428,              0.0002774,              0.0002774,              0.0002774
                     89,                0.87155,                0.44053,                0.98615,                  0.999,                0.98876,                0.99089,                0.73089,                 1.1023,                0.45742,                 1.1896,              0.0002576,              0.0002576,              0.0002576
                     90,                0.85624,                0.42458,                0.98716,                0.98801,                0.98876,                0.99381,                0.75703,                 1.0603,                0.44606,                 1.1684,              0.0002378,              0.0002378,              0.0002378
                     91,                0.79487,                0.38188,                  0.953,                  0.988,                0.98876,                0.99436,                0.72271,                 1.1141,                0.47866,                 1.2056,               0.000218,               0.000218,               0.000218
                     92,                0.79463,                0.37417,                0.94484,                0.98772,                0.98876,                 0.9878,                0.72376,                 1.1768,                0.46113,                 1.3066,              0.0001982,              0.0001982,              0.0001982
                     93,                0.77091,                0.36551,                0.94392,                0.98773,                0.98876,                0.98829,                0.71858,                 1.0794,                0.46729,                 1.1748,              0.0001784,              0.0001784,              0.0001784
                     94,                0.77049,                0.36068,                0.95764,                0.98778,                0.98876,                0.99446,                0.72863,                  1.107,                0.46989,                 1.1869,              0.0001586,              0.0001586,              0.0001586
                     95,                 0.7716,                0.36292,                0.94831,                0.98774,                0.98876,                0.99379,                0.72366,                 1.0886,                0.45546,                  1.167,              0.0001388,              0.0001388,              0.0001388
                     96,                0.75981,                0.35914,                0.93325,                      1,                0.98806,                0.99373,                0.72459,                 1.0981,                 0.4508,                 1.1889,               0.000119,               0.000119,               0.000119
                     97,                0.76203,                0.35895,                0.94659,                0.99924,                0.98876,                0.99356,                 0.7362,                 1.0994,                 0.4549,                  1.188,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.75619,                0.36074,                 0.9418,                0.99919,                0.98876,                0.99373,                0.73845,                 1.0995,                0.45949,                 1.1758,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.73737,                0.35352,                0.93258,                0.99919,                0.98876,                0.99418,                0.73261,                 1.1002,                0.45972,                 1.1881,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.72397,                0.34643,                0.92788,                0.99915,                0.98876,                0.99457,                0.73548,                 1.1056,                0.46484,                 1.1957,               3.98e-05,               3.98e-05,               3.98e-05
